commentID,grammarError,spellingError
261636,1, SENTENCE_WHITESPACE
311854,14, EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES EN_UNPAIRED_BRACKETS WHITESPACE_RULE COMMA_PARENTHESIS_WHITESPACE WHITESPACE_RULE WHITESPACE_RULE EN_QUOTES EN_QUOTES WHITESPACE_RULE
120744,0,NO_ERROR
386737,2, EN_QUOTES EN_QUOTES
331079,0,NO_ERROR
488967,8, EN_QUOTES EN_QUOTES WHITESPACE_RULE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
458842,1, WHITESPACE_RULE
65323,2, WHITESPACE_RULE PHRASE_REPETITION
329168,0,NO_ERROR
172060,2, SENTENCE_WHITESPACE SENTENCE_WHITESPACE
350152,2, EN_QUOTES EN_QUOTES
26205,1, FOR_FRO
411160,7, EN_QUOTES EN_QUOTES SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
239894,2, COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE
219102,2, COMMA_PARENTHESIS_WHITESPACE WHITESPACE_RULE
493605,3, SENTENCE_FRAGMENT WHITESPACE_RULE WHITESPACE_RULE
235678,1, WHITESPACE_RULE
522776,0,NO_ERROR
280362,3, EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES
441968,1, WHITESPACE_RULE
117854,0,NO_ERROR
402123,2, SOME_OF_THE ADVERB_WORD_ORDER
532286,5, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
101544,0,NO_ERROR
376709,1, WHITESPACE_RULE
204454,11, EN_UNPAIRED_BRACKETS EN_UNPAIRED_BRACKETS EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
407019,0,NO_ERROR
288997,0,NO_ERROR
520908,2, EN_QUOTES EN_QUOTES
401352,7, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES SENTENCE_WHITESPACE
469112,5, SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_WHITESPACE
54866,0,NO_ERROR
17911,0,NO_ERROR
336641,11, EN_UNPAIRED_BRACKETS EN_QUOTES SENTENCE_WHITESPACE WHITESPACE_RULE WHITESPACE_RULE COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE WHITESPACE_RULE EN_QUOTES EN_QUOTES WHITESPACE_RULE
144972,9, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
179180,0,NO_ERROR
378842,0,NO_ERROR
347513,0,NO_ERROR
295369,0,NO_ERROR
401232,4, UPPERCASE_SENTENCE_START SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
188798,1, SENTENCE_FRAGMENT
34931,0,NO_ERROR
216626,3, POSSESIVE_APOSTROPHE WHITESPACE_RULE UPPERCASE_SENTENCE_START
418324,4, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
121797,4, COMMA_PARENTHESIS_WHITESPACE DOUBLE_PUNCTUATION SENTENCE_WHITESPACE SENTENCE_WHITESPACE
491811,5, WHITESPACE_RULE EN_QUOTES EN_QUOTES WHITESPACE_RULE EN_CONTRACTION_SPELLING
170668,2, EN_QUOTES EN_QUOTES
380410,4, EN_UNPAIRED_BRACKETS EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
426289,0,NO_ERROR
374780,5, SENTENCE_FRAGMENT EN_QUOTES EN_QUOTES ENGLISH_WORD_REPEAT_BEGINNING_RULE ENGLISH_WORD_REPEAT_BEGINNING_RULE
377246,7, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
355795,2, EN_QUOTES EN_QUOTES
323757,10, EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE ENGLISH_WORD_REPEAT_RULE NOW ENGLISH_WORD_REPEAT_RULE NOW NOW SENTENCE_WHITESPACE
214465,0,NO_ERROR
28404,0,NO_ERROR
440735,2, COMMA_PARENTHESIS_WHITESPACE COMMA_PARENTHESIS_WHITESPACE
368453,0,NO_ERROR
515525,4, SENTENCE_WHITESPACE IT_VBZ EN_QUOTES EN_QUOTES
523021,0,NO_ERROR
144441,0,NO_ERROR
425464,3, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES
169602,4, PERIOD_OF_TIME SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE
5233,0,NO_ERROR
37468,0,NO_ERROR
520466,4, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES A_INFINITVE
392967,0,NO_ERROR
275555,0,NO_ERROR
503359,3, POSSESIVE_APOSTROPHE EN_QUOTES EN_QUOTES
167229,1, ENGLISH_WORD_REPEAT_BEGINNING_RULE
363997,8, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES COMMA_PARENTHESIS_WHITESPACE SENTENCE_WHITESPACE ENGLISH_WORD_REPEAT_RULE SOME_OF_THE
532399,0,NO_ERROR
158543,6, SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
363585,0,NO_ERROR
55247,2, SENTENCE_WHITESPACE COMMA_PARENTHESIS_WHITESPACE
212563,9, SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
478013,2, SENTENCE_WHITESPACE EN_COMPOUNDS
364369,6, WHITESPACE_RULE SENTENCE_WHITESPACE YOURS_APOSTROPHE WHITESPACE_RULE SENT_START_CONJUNCTIVE_LINKING_ADVERB_COMMA SENTENCE_WHITESPACE
345959,1, THE_SUPERLATIVE
371335,1, LIFE_TIME
385285,0,NO_ERROR
498517,2, SENTENCE_WHITESPACE SENTENCE_WHITESPACE
509620,15, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES SENTENCE_WHITESPACE
244786,5, SENTENCE_WHITESPACE WHITESPACE_RULE SENTENCE_WHITESPACE SENTENCE_WHITESPACE SENTENCE_FRAGMENT
216608,0,NO_ERROR
138001,2, WHITESPACE_RULE IT_VBZ
257052,0,NO_ERROR
382150,1, WHITESPACE_RULE
518152,0,NO_ERROR
380192,6, EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES EN_QUOTES
